Designator,Mid X,Mid Y,Rotation,Layer
C1,15.9512,-33.3756,270.0,top
C10,13.2588,-18.2169,270.0,top
C11,258.4,-74.1,180.0,top
C12,249.0928,-74.1,0.0,top
C13,255.9,-69.4264,0.0,top
C14,251.5928,-69.4264,180.0,top
C15,252.4056,-41.08,0.0,top
C16,252.7612,-64.3972,0.0,top
C17,283.85,-3.4054,180.0,top
C18,283.85,-18.5946,180.0,top
C19,276.28,-49.815,270.0,top
C2,4.5212,-68.3368,90.0,top
C20,290.28,-40.115,270.0,top
C3,26.8224,-68.3768,90.0,top
C4,30.4292,-68.3768,90.0,top
C5,52.6796,-68.4784,90.0,top
C6,15.9512,-27.7876,270.0,top
C7,12.1104,-10.668,0.0,top
C8,14.5088,-22.9616,180.0,top
C9,13.3604,-13.4675,270.0,top
D1,13.4112,-6.1976,90.0,top
D2,238.8644,-17.6276,180.0,top
D3,245.5192,-17.6276,180.0,top
D4,238.8644,-25.1358,180.0,top
D5,245.5192,-25.1358,180.0,top
D6,43.5356,-24.4602,180.0,top
J1,4.2164,-13.1064,0.0,top
J10,128.337,-3.5944,0.0,top
J11,196.342,-42.0624,90.0,top
J12,143.484,-3.5944,0.0,top
J13,158.6311,-3.5944,0.0,top
J14,173.7781,-3.5944,0.0,top
J15,188.9252,-3.5944,0.0,top
J16,220.8276,-41.7068,90.0,top
J17,32.9184,-10.5156,180.0,top
J18,200.1806,-27.0133,90.0,top
J19,211.205,-27.0133,90.0,top
J2,23.368,-58.2168,270.0,top
J20,200.1806,-20.3585,90.0,top
J21,53.6956,-10.7696,180.0,top
J22,211.205,-20.3585,90.0,top
J23,78.8974,-36.3361,90.0,top
J24,86.5124,-41.3512,270.0,top
J25,127.5093,-36.3361,90.0,top
J26,135.128,-41.3512,270.0,top
J27,63.1952,-61.0616,0.0,top
J28,237.3376,-54.7116,0.0,top
J29,237.3376,-79.1464,0.0,top
J3,23.368,-75.438,270.0,top
J31,95.1014,-36.3361,90.0,top
J32,102.7176,-41.3512,270.0,top
J33,143.7132,-36.3361,90.0,top
J34,151.3332,-41.3512,270.0,top
J35,111.3053,-36.3361,90.0,top
J36,118.9228,-41.3512,270.0,top
J39,177.1879,-36.3869,90.0,top
J4,49.2768,-58.2168,270.0,top
J40,184.8104,-41.3512,270.0,top
J41,184.8104,-31.3436,270.0,top
J42,159.9172,-36.3361,90.0,top
J43,167.5384,-41.3512,270.0,top
J44,167.5384,-31.3436,270.0,top
J45,72.4916,-43.5864,270.0,top
J46,237.3376,-39.3192,0.0,top
J5,49.2768,-75.438,270.0,top
J52,11.5824,-86.106,0.0,top
J53,56.134,-86.3092,0.0,top
J54,32.8914,-94.1832,270.0,top
J55,234.701,-9.6012,90.0,top
J56,245.1608,-89.6112,0.0,top
J57,297.2308,-15.1384,0.0,top
J58,257.7084,-90.0684,0.0,top
J59,281.6,-28.5108,0.0,top
J6,82.8958,-3.5944,0.0,top
J7,98.0429,-3.5944,0.0,top
J8,63.246,-37.4396,0.0,top
J9,113.1899,-3.5944,0.0,top
R1,19.2024,-18.0848,90.0,top
R10,70.866,-26.67,180.0,top
R11,70.866,-19.4564,180.0,top
R12,43.5356,-28.4988,180.0,top
R13,63.246,-30.2768,0.0,top
R14,263.1292,-49.0864,0.0,top
R15,263.1292,-62.0773,0.0,top
R16,263.1292,-53.5092,0.0,top
R17,263.1292,-57.9319,0.0,top
R18,263.1292,-44.6637,0.0,top
R19,263.1292,-40.241,0.0,top
R2,250.7792,-34.544,0.0,top
R20,263.19,-66.2,0.0,top
R21,263.19,-70.4,0.0,top
R3,265.27,-34.4424,0.0,top
R4,232.4636,-16.6014,180.0,top
R5,232.4636,-20.1405,180.0,top
R6,232.4636,-23.6796,180.0,top
R7,232.4636,-27.2186,180.0,top
R8,43.5356,-20.4216,180.0,top
R9,70.866,-23.0632,180.0,top
RV1,254.894,-8.8908,0.0,top
RV10,148.7932,-25.146,0.0,top
RV11,116.3828,-25.146,0.0,top
RV2,269.3848,-8.84,0.0,top
RV3,83.9724,-25.146,0.0,top
RV4,284.7,-85.6,0.0,top
RV5,284.7,-66.7981,0.0,top
RV6,132.588,-25.146,0.0,top
RV9,100.1776,-25.146,0.0,top
SW1,44.0674,-34.203,0.0,top
SW10,213.705,-7.112,0.0,top
SW11,253.9,-83.0003,0.0,top
SW12,269.3,-82.8548,0.0,top
SW2,251.3392,-26.3428,0.0,top
SW3,44.0674,-43.2115,0.0,top
SW4,32.7898,-34.3384,0.0,top
SW5,265.83,-26.2412,0.0,top
SW6,32.7898,-43.347,0.0,top
SW7,202.6806,-14.0716,0.0,top
SW8,213.705,-14.0716,0.0,top
SW9,202.6806,-7.112,0.0,top
U1,9.3472,-30.226,180.0,top
U2,8.118,-70.6264,90.0,top
U3,34.0268,-70.6264,90.0,top
U4,49.3776,-20.828,0.0,top
U5,22.8092,-20.828,0.0,top
U6,250.0688,-45.0932,0.0,top
U7,278.8,-7.2,0.0,top
U8,279.38,-39.44,0.0,top
